あい|愛|love
あいかわらず|相変わらず|as ever; as usual; the same
あいさつ|挨拶|greeting, salutation
あいじょう|愛情|love, affection
あいず|合図|sign, signal
アイスクリーム||ice cream
あいする|愛する|to love
あいて|相手|companion, partner, company
あいにく||unfortunately, Sorry,  but....
アイロン||(electric) iron
アウト||out
あかり|明かり|lamplight, light (in general), brightness
あき|空き|room, time to spare, emptiness
あきらか|明らか|obvious, evident, clear
あきらめる|諦める|to give up, to abandon
あきる|飽きる|to get tired of, to lose interest in
あきや|空き家|vacant house; unoccupied house
あくしゅ|握手|handshake
あくま|悪魔|devil, demon, evil spirit
あける|明ける|to dawn, to become daylight
あした||tomorrow
あしもと|足元|at one’s feet, under foot
あずける|預ける|to entrust, to deposit
あせ|汗|sweat, perspiration
あたえる|与える|to give, to present, to award
あたたか(い)|暖かい|warm, mild
あたり|辺り|vicinity, nearby
あたる|当たる|to be hit, to be successful||to be equivalent to
あたためる|温める|to warm, to heat
あちこち||here and there
あつかう|扱う|to handle, to deal with, to treat
あつまり|集まり|gathering, meeting,||assembly, collection
あてる|当てる|to hit, to apply a patch
あと|跡|(1) trace, tracks, mark, sign||(2) remains,ruins,(3) scar
あな|穴|hole
あびる|浴びる|to bathe, to shower||to bask in the sun
あぶら|油|oil
あまり|余り|not very, not much
あむ|編む|to knit, to braid
あやまり|誤り|error
あら|粗|defect, flaw, blemish, weak point
あらい|粗い|coarse; rough
あらし|嵐|storm, tempest
あらた|新た|new, fresh, novel
あらゆる||all, every
あらわす|表す|to express, to show, to reveal
あらわす|現す|to show, to indicate, to display
あらわれ|現れ|embodiment, materialization
あらわれる|現れる|(1) to appear, to become visible||(2) to express oneself
ありがとう||Thank you
ある|有る|to be, to have
ある|或|a certain..., some...
あるいは||or, possibly
アルバム||album
あわ|泡|bubble, foam, froth, head on beer
あわせる|合わせる|to join together, to match, to face
あわてる|慌てる|to panic, to rush
Hiragana|Kanji|Definitions
あわれ|哀れ|helpless, pity, sorrow, grief
あん|案|plan, suffix meaning draft
あんき|暗記|memorization, learning by heart
あんてい|安定|stability, equilibrium
あんない|案内|information, guidance, leading
あんなに||to that extent, to that degree
あんまり||not very, not much, remainder, rest
い|胃|stomach
いい||good
よい||good, nice, pleasant, ok
いいん|委員|committee member
ゆう|言う|to say
いがい|意外|unexpected, surprising
いき|行き|going
ゆき|行き|going
いき|息|breath, tone
